Year,Month,Department,Division,Merchant,TranxDescription,TranxDate,TrnxAmount,Difference
2021,9,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,GRAINGER,Industrial Supplies Not Elsewhere Classified,03-11-2021,195.94,-95.94
2019,4,DEPT OF SAFETY AND HOMELAND,State Police-Executive,PANERA BREAD #600943,Eating Places Restaurants,10-04-2018,12.94,87.06
2020,5,DEPT OF SAFETY AND HOMELAND,Dema,UBER TRIP,Travel,11/21/2019,24.89,75.11
2022,12,FIRST STATE MILITARY ACADEMY,First State Military Academy,SPORTS NETWORK INTERNATIO,Recreation Services Not Elsewhere Classified,06/15/2022,210.0,-110.0
2022,12,EXECUTIVE,Office of the Governor,LEXISNEXIS PAYMENT CTR,Business Services-Not Elsewhere Classified,05/27/2022,485.0,-385.0
2020,12,DEPT OF CORRECTIONS,Food Services,H. SCHRIER And CO. INC.,Misc Food Store-Convenience Mrkt Splty Vendng Macs,06-07-2020,270.62,-170.62
2019,1,DEL TECH AND COMM COLLEGE,Owens Campus,ANDERSEN WINDOWS-EMCO,Miscellaneous House Furnishing Specialty Shops,07/16/2018,31.0,69.0
2023,3,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,AMZN MKTP US*1M8DX6D50,Book Stores,09/19/2022,11.72,88.28
2019,7,EXECUTIVE,Office of the Governor,NEW YORK TIMES DIGITAL,Direct Marketing-Continuity-Subscription Merchants,01/27/2019,15.0,85.0
2020,2,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG GOV CNTR Q07,Automobile Parking Lots And Garages,08/14/2019,8.5,91.5
2019,12,DEPT OF NATRL RES AND ENV CONT,Fiscal Management,CAN*CANONFINANCIAL CFS,Electronic Sales,05/29/2019,207.68,-107.68
2020,2,EXECUTIVE,Criminal Justice Council,VZWRLSS*APOCC VISB,Telecom Incl Prepaid-Recurring Phone Svcs,08-07-2019,40.01,59.99
2022,11,DEPT OF NATRL RES AND ENV CONT,Watershed Stewardship,USPS.COM POSTAL STORE,Postal Services-Government Only,05/23/2022,118.0,-18.0
2020,9,DEPT OF CORRECTIONS,Delaware Correctional Industri,ATLANTIC COAST COTTON,Mens-Womens-Childrens Uniforms-Commercial Cloth,02/28/2020,10970.06,-10870.06
2019,1,DEPT OF SAFETY AND HOMELAND,Div Of Alcohol And Tobac Enf,IN *MAGNUM ELECTRONICS,Electrical Parts And Equipment,07-09-2018,64.79,35.209999999999994
2019,2,POSITIVE OUTCOMES CHARTER SCHL,Positive Outcomes Charter Schl,IDENTAKID,Variety Stores,08-07-2018,570.0,-470.0
2023,7,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,VERIZONWRLSS*RTCCR VB,Telecom Incl Prepaid-Recurring Phone Svcs,01-04-2023,22.95,77.05
2023,1,DEPT OF NATRL RES AND ENV CONT,Office Of The Secretary,VERIZONWRLSS*RTCCR VB,Telecom Incl Prepaid-Recurring Phone Svcs,07-01-2022,59.17,40.83
2021,4,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,DOLLAR TREE INC.,Miscellaneous General Merchandise,10-03-2020,898.24,-798.24
2019,4,SVS FR CHILDREN YOUTH FAMILIES,Periodic Treatment,BOS TAXI 1267,Travel,10-10-2018,31.55,68.45
2022,10,DEPT OF SAFETY AND HOMELAND,State Police-Executive,HILTON HOTELS,Lodging,04/13/2022,42.4,57.6
2021,9,THE CHARTER SCHOOL OF WILMNGTN,The Charter School Of Wilmngtn,CHARTER SCHOOL OF WILM,Government Services-Not Elsewhere Classified,03-07-2021,-1.0,99.0
2020,2,DEL TECH AND COMM COLLEGE,DTCC - Stanton Campus,RONALD A WILLIAMS LTD,Computer Network-Information Services,08-07-2019,3000.0,-2900.0
2023,4,DEPT OF HEALTH AND SOCIAL SV,Community Services,HILTON ALEXANDRIA F AND,Eating Places Restaurants,10-05-2022,4.38,95.62
2019,9,SVS FR CHILDREN YOUTH FAMILIES,Community Services,COL PRKNG JSTCE CTR Q08,Automobile Parking Lots And Garages,03/14/2019,10.0,90.0
2019,10,DEPT OF TRANSPORTATION,Administration,UNIFIRST CORPORATION,Mens-Womens-Childrens Uniforms-Commercial Cloth,04-03-2019,398.96,-298.96
2023,3,CAPE HENLOPEN SCHOOL DISTRICT,Cape Henlopen School District,AMZN MKTP US*TZ4RZ2YU3,Book Stores,08/31/2022,123.73,-23.730000000000004
2021,9,DEPT OF STATE,Office of the Director,HILYARDS INC,Construction Materials Not Elsewhere Classified,02-04-2021,134.95,-34.94999999999999
2019,4,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,WEAVER'S SANITATION LLC,Utlts-Elctrc Gas Heating Oil Sanitary Water,10/18/2018,186.0,-86.0
2022,2,DEPT OF CORRECTIONS,Facilities Maintenance,ATLANTIC TRACTOR CLAYTON,Commercial Equipment Not Elsewhere Classified,08/24/2021,105.7,-5.700000000000003
2021,11,DEPT OF CORRECTIONS,Howard R Young Correct Institu,CITY OF WILMINGTON,Utlts-Elctrc Gas Heating Oil Sanitary Water,05/13/2021,25000.0,-24900.0
2022,9,DEPT OF NATRL RES AND ENV CONT,Climate Coastal and Energy,WPY*DELAWARE GIS,Organizations Charitable And Social Services,03-04-2022,100.0,0.0
2021,12,DEPT OF CORRECTIONS,Delaware Correctional Industri,LINDENMEYR MUNROE,Nondurable Goods Not Elsewhere Classified,06/14/2021,1191.2,-1091.2
2020,3,DEPT OF HEALTH AND SOCIAL SV,DirectorS OfcSupport Service,CAN*CANONFINANCIAL CFS,Electronic Sales,08/29/2019,64.6,35.400000000000006
2020,3,DEPT OF TRANSPORTATION,Maintenance Districts,SALISBURY AUTOMOTIVE,Automotive Parts Accessories Stores,08/29/2019,38.98,61.02
2019,2,CAPE HENLOPEN SCHOOL DISTRICT,Cape Henlopen School District,STAPLS0167594594000001,Stationery-Office Supplies-Printing Writing Pap,07/31/2018,47.41,52.59
2020,6,DEPT OF CORRECTIONS,Sussex Cty Community Correctio,AMZN MKTP US*KO3NW2KV3,Book Stores,12-11-2019,23.5,76.5
2021,4,DEPT OF SAFETY AND HOMELAND,Communication,GRAVES UNIFORMS LLC,Family Clothing Stores,09/29/2020,1362.75,-1262.75
2023,1,DEPT OF CORRECTIONS,Facilities Maintenance,STATEWIDE MECHANICAL,Plumbing And Heating Equipment,06/30/2022,1013.0,-913.0
2019,7,DEPT OF CORRECTIONS,Employee Development Center,HANOVER UNIFORM CO,Mens-Womens-Childrens Uniforms-Commercial Cloth,01/21/2019,210.0,-110.0
2019,12,DEPT OF TRANSPORTATION,Traffic,DELAWARE ELECTRIC COOPER,Utlts-Elctrc Gas Heating Oil Sanitary Water,06/19/2019,247.64,-147.64
2019,1,DEPT OF SAFETY AND HOMELAND,Division of Gaming Enforcement,PACER800-676-6856IR,Government Services-Not Elsewhere Classified,07-12-2018,25.4,74.6
2022,1,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,STAPLS0192715267000001,Stationery-Office Supplies-Printing Writing Pap,07-01-2021,12.47,87.53
2019,7,CAESAR RODNEY SCHOOL DISTRICT,CAESAR RODNEY SCHOOL DISTRICT,PESI,Schools Educational Svc-Not Elsewhere Classified,01/16/2019,849.97,-749.97
2019,3,DEL TECH AND COMM COLLEGE,DTCC - Stanton Campus,STAPLS0168942794000001,Stationery-Office Supplies-Printing Writing Pap,09/20/2018,146.91,-46.91
2023,1,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,USPS PO 4141840747,Postal Services-Government Only,06/29/2022,5.06,94.94
2020,9,DEPT OF TRANSPORTATION,Maintenance Districts,BARR INTERNATIONAL,Automotive Service Shops,02/27/2020,105.84,-5.840000000000003
2019,3,DEPT OF HEALTH AND SOCIAL SV,Management Services,MAX A MIA,Eating Places Restaurants,09/17/2018,33.65,66.35
2019,2,DEPT OF STATE,Delaware Public Archives,DATA MANAGEMENT INTERNATI,Business Services-Not Elsewhere Classified,08-01-2018,732.75,-632.75
2022,12,GREAT OAKS CHARTER SCHOOL,Great Oaks Charter School,BJS WHOLESALE #0354,Wholesale Clubs,06-02-2022,37.76,62.24
2020,1,MOT CHARTER SCHOOL,MOT Charter School,ETSY.COM - UBERDECALS,Accessory And Apparel Stores-Miscellaneous,07-10-2019,51.98,48.02
2021,9,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,SIR SPEEDY NEWARK,Miscellaneous Publishing And Printing,02-01-2021,44.44,55.56
2020,5,DEPT OF TRANSPORTATION,Maintenance Districts,CLEAN DELAWARE LLC,Utlts-Elctrc Gas Heating Oil Sanitary Water,10/29/2019,299.0,-199.0
2022,12,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,SUKI HANA,Fast Food Restaurants,06-02-2022,15.25,84.75
2021,3,DEPT OF TRANSPORTATION,Maintenance Districts,CRAMARO TARPAULIN SYST,Construction Materials Not Elsewhere Classified,09-01-2020,-270.34,-170.33999999999997
2020,8,WOODBRIDGE SCHOOL DISTRICT,Woodbridge School District,AMZN MKTP US*WC95I6F53,Book Stores,02-05-2020,5.98,94.02
2021,11,DEPT OF SAFETY AND HOMELAND,State Police-Executive,TST* CHOPT CREATIVE SALAD,Eating Places Restaurants,05/17/2021,10.06,89.94
2022,3,SVS FR CHILDREN YOUTH FAMILIES,Secure Care,JACK L MARCUS INC,Direct Marketing-Catalog Merchants,09/24/2021,286.5,-186.5
2019,8,DEL TECH AND COMM COLLEGE,Owens Campus,KITCHEN FRESH CANDY,Candy Nut Confectionery Stores,02-12-2019,23.0,77.0
2020,7,DEPT OF CORRECTIONS,Facilities Maintenance,CAPP USA,Industrial Supplies Not Elsewhere Classified,01/13/2020,174.7,-74.69999999999999
2019,3,DEPT OF TRANSPORTATION,Maintenance Districts,UNITED ELECTRIC DAGSBOR,Electrical Parts And Equipment,09/24/2018,67.76,32.239999999999995
2021,12,DEPT OF SAFETY AND HOMELAND,Capitol Police,DUNKIN #343076 Q35,Fast Food Restaurants,06/23/2021,6.27,93.73
2021,12,SVS FR CHILDREN YOUTH FAMILIES,24 Hour Treatment,MIDDLETOWN SEASONS PIZZA,Eating Places Restaurants,05/27/2021,105.59,-5.590000000000003
2023,7,DEPT OF TRANSPORTATION,Planning,MARC UNION STATION,Travel,01-12-2023,9.0,91.0
2021,9,DEPT OF NATRL RES AND ENV CONT,Office Of The Secretary,VERIZONWRLSS*RTCCR VB,Telecom Incl Prepaid-Recurring Phone Svcs,03-03-2021,56.98,43.02
2021,6,JUDICIAL,Office Of The Child Advocate,AMAZON.COM*JC61K2CP3,Book Stores,12-07-2020,41.49,58.51
2020,12,JUDICIAL,Justice of the Peace Court,AMAZON.COM*MS5E665N0,Book Stores,06/23/2020,26.97,73.03
2019,8,DEPT OF LABOR,OSHABLS,MAVERIK #541,Service Stations With Or Without Ancillary Service,02/26/2019,6.82,93.18
2023,6,INDIAN RIVER SCHOOL DISTRICT,Indian River School District,FOUR BROTHERS,Eating Places Restaurants,12-04-2022,28.0,72.0
2022,5,SVS FR CHILDREN YOUTH FAMILIES,InterventionTreatment,SHUTTERFLY LIFETOUCH LLC,Photographic Studios,11/16/2021,254.24,-154.24
2023,6,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,EB 2022 GOVERNORS OUT,Business Services-Not Elsewhere Classified,11/29/2022,98.74,1.2600000000000051
2021,5,DEPT OF LABOR,Employment And Training Serv,CAN*CANONFINANCIAL CFS,Electronic Sales,10/29/2020,37.41,62.59
2022,1,DEPT OF CORRECTIONS,Sussex Correctional Inst,LOWES #02795*,Home Supply Warehouse Stores,07/14/2021,75.96,24.040000000000006
2023,2,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,DOLLAR GENERAL 14910,Variety Stores,08/24/2022,22.0,78.0
2022,3,DEPT OF CORRECTIONS,Facilities Maintenance,HILYARDS INC,Construction Materials Not Elsewhere Classified,08/27/2021,222.75,-122.75
2021,1,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,CANN PRINTING,Miscellaneous Publishing And Printing,07/21/2020,459.0,-359.0
2022,2,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,COASTAL FISHERMAN,Books Periodicals And Newspapers,08-05-2021,3293.6,-3193.6
2021,10,EXECUTIVE,Criminal Justice Council,ZOOM.US 888-799-9666,Telecom Incl Prepaid-Recurring Phone Svcs,04/20/2021,5597.4,-5497.4
2021,9,DEPT OF CORRECTIONS,Sussex Correctional Inst,MOBILE MINI,Public Warehousing-Farm Refrig Goods Hhg Storage,03-06-2021,132.83,-32.83000000000001
2021,1,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,HARBOR FREIGHT TOOLS 315,Hardware Stores,07-08-2020,44.97,55.03
2019,3,DELMAR SCHOOL DISTRICT,Delmar School District,DELAWARE ELEVATOR SALES,Electrical Parts And Equipment,08/29/2018,364.0,-264.0
2022,3,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMAZON.COM*2D9C07W12,Book Stores,08/29/2021,8.24,91.76
2020,9,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,EASTERN SHORE COFFEE And WA,Business Services-Not Elsewhere Classified,03-04-2020,31.86,68.14
2019,8,JUDICIAL,Office Of The Child Advocate,AMZN MKTP US*MI7Q440Z2,Book Stores,02/24/2019,13.9,86.1
2019,10,DEPARTMENT OF HUMAN RESOURCES,Office of the Secretary,PAYPAL *DELMARVAHRG,Organizations Membership-Not Elsewhere Classified,04-09-2019,250.0,-150.0
2020,2,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,THE HOME DEPOT #8440,Home Supply Warehouse Stores,08/14/2019,9.28,90.72
2022,2,DEPT OF TRANSPORTATION,Traffic,VERIZONWRLSS*RTCCR VB,Telecom Incl Prepaid-Recurring Phone Svcs,08-05-2021,80.02,19.980000000000004
2020,7,DEPT OF TRANSPORTATION,Maintenance Districts,MONTAGE ENTERPRISES INC.,Hardware Equipment And Supplies,01-09-2020,1010.33,-910.33
2021,1,EXECUTIVE,De Justice Information Systems,GAN*NEWSPAPERSUBSCRIPT,Direct Marketing-Continuity-Subscription Merchants,07-01-2020,9.99,90.01
2023,4,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,NOVICK BROTHERS CORP,Nondurable Goods Not Elsewhere Classified,09/27/2022,636.73,-536.73
2019,3,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,SOUTHWES 5261484676885,Airline,09-04-2018,408.95,-308.95
2021,12,NEW CASTLE COUNTY VO-TECH SCH,New Castle County Vo-Tech Sch,DLTCRP BACKGROUND CHECK,Government Services-Not Elsewhere Classified,06/22/2021,25.0,75.0
2022,6,STATE TREASURER,Administration,PC SUPPLIES,Electronic Repair Shops,12/17/2021,403.0,-303.0
