Дата	Время	День недели	Продавец	Цена (млн)
2021-06-01	10:15:16	чт	seller_1	2.10
2021-06-01	17:10:10	чт	seller_1	1.50
2021-06-02	11:05:16	пт	seller_2	2.20
2021-06-03	13:45:15	сб	seller_3	1.40
2021-06-04	14:41:36	вс	seller_1	1.10
2021-06-04	16:25:16	вс	seller_1	1.70
2021-06-04	17:55:16	вс	seller_1	1.55
2021-06-05	14:35:33	пн	seller_2	2.70
2021-06-06	13:41:12	вт	seller_3	1.40
2021-06-06	16:23:36	вт	seller_3	1.60
2021-06-07	11:11:16	ср	seller_1	2.00
2021-06-08	13:10:20	чт	seller_1	1.00
2021-06-08	15:25:30	чт	seller_1	1.35
2021-06-09	10:15:51	пт	seller_3	1.55
2021-06-09	15:25:21	пт	seller_3	1.65
2021-06-09	16:51:23	пт	seller_3	1.65
2021-06-10	10:27:39	сб	seller_1	1.35
2021-06-10	11:59:43	сб	seller_1	2.35
2021-06-10	15:33:49	сб	seller_1	3.10
2021-06-11	11:35:33	вс	seller_2	1.70
2021-06-11	15:25:27	вс	seller_2	1.70
2021-06-11	16:55:57	вс	seller_2	1.70
2021-06-12	11:51:23	пн	seller_3	1.15
2021-06-12	12:23:34	пн	seller_3	1.25
2021-06-12	14:21:26	пн	seller_3	1.75
2021-06-12	17:33:38	пн	seller_3	1.60
2021-06-13	11:17:19	вт	seller_1	1.45
2021-06-13	11:59:43	вт	seller_1	2.30
2021-06-14	11:35:33	вс	seller_2	1.70
